16.36	-99.52
16.55	-98.75
16.51	-99.5
16.27	-99.53
17.41	-100.71
18.14	-100.91
18.3	-100.59
18.23	-100.09
17.08	-101.17
17.01	-100.86
18.27	-100.68
17.78	-100.02
17.99	-101.41
16.32	-99.28
16.73	-100.21
16.43	-99.25
16.42	-99.41
17.39	-100.96
18.02	-101.61
18.61	-100.05
17.45	-101.2
17.5	-101.22
16.98	-99.01
17.09	-100.22
16.32	-99.43
17.94	-100.95
16.85	-99.58
16.67	-99.63
16.55	-100.01
16.71	-99.79
16.19	-100.25
17.9	-100.38
18.38	-100.78
17.48	-101.3
16.88	-100.14
16.83	-100
17.08	-101.13
16.97	-99.83
17.96	-101.1
16.88	-100.13
16.66	-100.12
17.37	-101.56
16.84	-102.1
17.07	-99.95
17.38	-100.44
16.98	-100.17
17.34	-100.87
16.87	-99.03
18.3	-100.99
16.83	-100.42
16.75	-99.89
16.77	-99.93
15.99	-98.95
16.86	-100.13
18.32	-100.58
17.12	-100.33
16.75	-99.95
18.02	-99.49
16.53	-99.66
17.41	-101.38
16.57	-100.82
16.84	-100.76
16.91	-100.83
16.65	-100.56
16.96	-100.74
16.61	-100.78
16.83	-100.77
16.69	-100.73
16.92	-100.61
17.02	-100.5
16.75	-100.76
16.82	-100.73
16.86	-100.79
16.55	-100.49
17.1	-100.51
17.76	-101.71
17.43	-101.65
17.46	-101.62
17.46	-100.93
17.72	-98.4
17.9	-101.57
16.52	-98.49
16.96	-98.98
16.68	-99.68
16.99	-100.18
17.11	-100.55
16.81	-100.1
16.32	-98.85
18.39	-100.28
16.8	-100.21
16.8	-100.2
16.69	-99.77
16.47	-100.2
16.16	-98.68
16.2	-98.65
16.16	-99.28
16.6	-100.45
16.74	-99.68
16.74	-99.66
16.68	-99.68
16.71	-99.68
16.17	-100.92
16.39	-98.83
17.54	-101.34
17.06	-100.09
17	-99.82
15.89	-99.6
16.54	-99.49
17.81	-99.16
16.86	-99.91
17.01	-100.52
17.01	-100.52
17.08	-99.5
17.01	-100.51
16.96	-100.53
16.98	-100.53
16.92	-100.31
17.36	-100.24
16.79	-100.08
17.71	-99.56
16.88	-100.21
16.54	-99.73
17.87	-101.56
16.76	-100.09
16.53	-99.18
16.8	-100.63
17.08	-101.55
18.09	-100.62
17.84	-100.21
17.37	-100.06
16.85	-100.41
17.02	-101.59
16.71	-99.77
16.08	-98.77
18.33	-100.62
18.07	-100.65
17.98	-100.33
17.95	-101.62
17.99	-101.52
16.92	-100.4
17	-100.54
17.12	-100.97
16.97	-99.2
16.8	-100.12
17.9	-101.67
17.09	-99.79
16.18	-98.81
16.91	-100.32
16.33	-98.85
17.07	-99.73
16.34	-98.47
16.57	-100.43
16.87	-100.36
17.78	-101.29
16.33	-99.37
16.46	-98.41
16.23	-98.79
17.04	-100.77
16.74	-101.8
16.84	-100.04
16.28	-98.72
17.91	-100.17
17	-99.94
17.18	-100.45
18.31	-100.82
17.26	-101.25
16.73	-99.19
17.22	-100.97
17.29	-101.15
17.51	-101.06
17.23	-101.24
17.26	-101.14
17.49	-101.8
16.97	-100.45
16.65	-98.42
16.9	-100.38
16.81	-99.78
16.34	-98.47
16.56	-100.42
17.31	-101.2
17.17	-101.29
16.5	-99.55
17.21	-101.19
17.4	-100.33
17.03	-99.98
18.15	-99.31
17.41	-101.04
16.93	-99.5
17.4	-101.23
17.12	-101.32
16.64	-99.67
17.11	-101.25
16.14	-98.83
16.67	-100.54
17.41	-101.46
17.02	-100.28
17.12	-100.45
16.69	-98.32
16.93	-100.08
16.91	-99.53
16.4	-99.53
17.35	-100.2
16.95	-99.45
17.35	-100.93
16.61	-99.75
16.73	-99.76
17.11	-101.22
16.67	-99.27
17.07	-100.85
16.53	-100.4
16.63	-100.4
16.67	-100.08
16.53	-99.51
17.79	-101.42
16.97	-100.16
18	-101.75
17.82	-99.9
16.71	-99.48
17.05	-99.53
16.07	-98.34
16.4	-99.58
16.11	-99.64
17.17	-101.16
16.86	-98.46
17.97	-101.74
17.03	-100.05
17.34	-101
16.66	-99.86
17.37	-101.05
16.86	-100.51
17.93	-99.97
17.16	-100.26
16.87	-98.59
16.88	-100.36
18.13	-100.01
16.97	-100.64
17.16	-101.25
16.9	-100.19
16.65	-99.08
16.22	-99.37
16.52	-98.34
16.84	-99.61
18.58	-99.84
16.91	-100.73
17.29	-99.84
17.17	-100.02
16.38	-98.7
16.36	-98.46
17.31	-100.66
17.15	-100.78
16.98	-99
16.77	-100.12
17.36	-100.43
17.1	-100.21
16.68	-99.65
17.01	-100.34
17.04	-100.49
16.97	-100.47
17.11	-101.13
17.03	-99.95
